Date,Type,Entry Time,Entry Price,Exit Price,Stop Loss,Take Profit,PnL,Reason,Capital,Cumulative Equity
2025-01-10,Long,2025-01-10 16:45:00,5831.31,5827.04,5808.478690000001,5924.01,-187.0238720424065,End of Day,99812.97612795759,99812.97612795759
2025-01-17,Short,2025-01-17 17:00:00,6006.88,5996.66,6017.90688,5932.17,926.8260831713754,End of Day,100739.80221112896,100739.80221112896
2025-01-24,Long,2025-01-24 16:45:00,6101.24,6101.24,6088.62876,6118.73,0.0,End of Day,100739.80221112896,100739.80221112896
2025-01-30,Short,2025-01-30 16:45:00,6069.66,6071.17,6086.81966,6030.06,-87.99708152726777,End of Day,100651.8051296017,100651.8051296017
2025-01-31,Short,2025-01-31 14:00:00,6109.72,6066.82,6121.329720000001,6066.82,3695.179556440564,Take Profit,104346.98468604225,104346.98468604225
2025-02-10,Short,2025-02-10 14:15:00,6061.45,6072.51145,6072.51145,6022.93,-1000.0,Stop Loss,103346.98468604225,103346.98468604225
2025-02-12,Long,2025-02-12 11:00:00,6042.76,6026.24724,6026.24724,6076.28,-1000.0,Stop Loss,102346.98468604225,102346.98468604225
2025-02-12,Long,2025-02-12 14:00:00,6056.25,6046.463750000001,6046.463750000001,6076.28,-999.9999999999999,Stop Loss,101346.98468604225,101346.98468604225
2025-02-12,Long,2025-02-12 15:45:00,6055.93,6043.87407,6043.87407,6076.28,-1000.0,Stop Loss,100346.98468604225,100346.98468604225
2025-02-13,Short,2025-02-13 14:00:00,6084.53,6093.69453,6093.69453,6044.84,-1000.0,Stop Loss,99346.98468604225,99346.98468604225
2025-02-20,Long,2025-02-20 16:45:00,6102.49,6117.52,6088.40751,6147.43,1067.2828455763781,End of Day,100414.26753161864,100414.26753161864
2025-02-25,Long,2025-02-25 16:45:00,5940.53,5955.25,5919.72947,5983.96,707.6742756074287,End of Day,101121.94180722606,101121.94180722606
2025-03-04,Long,2025-03-04 15:15:00,5773.48,5850.48,5757.75652,5850.48,4897.134730988413,Take Profit,106019.07653821447,106019.07653821447
2025-03-06,Long,2025-03-06 11:45:00,5796.36,5764.22364,5764.22364,5850.48,-1000.0,Stop Loss,105019.07653821447,105019.07653821447
2025-03-07,Long,2025-03-07 13:15:00,5712.28,5751.68,5683.94772,5751.68,1390.6399343787746,Take Profit,106409.71647259325,106409.71647259325
2025-03-10,Long,2025-03-10 16:45:00,5600.12,5614.56,5579.43988,5771.19,698.2551358503005,End of Day,107107.97160844355,107107.97160844355
2025-03-11,Long,2025-03-11 12:00:00,5580.27,5572.199729999999,5572.199729999999,5622.5,-1000.0,Stop Loss,106107.97160844355,106107.97160844355
2025-03-12,Short,2025-03-12 14:45:00,5602.63,5621.742630000001,5621.742630000001,5569.59,-1000.0,Stop Loss,105107.97160844355,105107.97160844355
2025-03-13,Long,2025-03-13 15:45:00,5537.27,5510.19273,5510.19273,5622.5,-1000.0,Stop Loss,104107.97160844355,104107.97160844355
2025-03-14,Short,2025-03-14 10:45:00,5576.02,5594.60602,5594.60602,5504.65,-1000.0,Stop Loss,103107.97160844355,103107.97160844355
