Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2026-03-04,24710.75,25217.75,24499,25128.25,372.5,+1.50%,603596,269922
2026-03-03,25002.75,25011,24352,24755.75,-269.5,-1.08%,719421,268602
2026-03-02,24682.5,25101,24477,25025.25,20.5,+0.08%,627650,271793
2026-02-27,25024.25,25098.75,24782,25004.75,-76.25,-0.30%,561211,268705
2026-02-26,25388.25,25418.25,24861.75,25081,-301.,-1.19%,605581,272649
2026-02-25,25016.25,25494.75,24992,25382,353.25,+1.41%,417621,270023
2026-02-24,24788,25078.75,24694.5,25028.75,266,+1.07%,520239,267918
2026-02-23,25033.75,25059.75,24668,24762.75,-304.75,-1.22%,594568,271314
2026-02-20,24837.75,25139.5,24678.5,25067.5,208.75,+0.84%,615358,268904
2026-02-19,24943.5,25054,24749,24858.75,-97.25,-0.39%,515038,275393
2026-02-18,24773.75,25128.25,24700.75,24956,188.25,+0.76%,540796,264976
2026-02-17,24789.75,24922.25,24449.25,24767.75,-35.5,-0.14%,752646,270655
2026-02-13,24842.25,24995.5,24578.75,24803.25,35.25,+0.14%,688226,267673
2026-02-12,25289,25419.75,24721.5,24768,-520.5,-2.06%,668338,269452
2026-02-11,25259,25465.25,25058.25,25288.5,70.25,+0.28%,531730,261121
2026-02-10,25363,25447.25,25198.25,25218.25,-135.75,-0.54%,477554,261174
2026-02-09,25153.75,25428.75,24955.5,25354,190.75,+0.76%,492306,259212
2026-02-06,24416,25222,24239.75,25163.25,512.25,+2.08%,653956,264038
2026-02-05,25061.75,25169,24407.25,24651,-348.25,-1.39%,774469,275443
2026-02-04,25387.5,25514.25,24783.5,24999.25,-452.75,-1.78%,742646,272485
2026-02-03,25876.5,26027.75,25219,25452,-398.,-1.54%,696150,267240
2026-02-02,25530,25949.5,25180.25,25850,180,+0.70%,578865,257866
2026-01-30,25998.5,26020,25568.75,25670,-329.25,-1.27%,712197,259501
2026-01-29,26282.5,26296,25536,25999.25,-157.,-0.60%,699097,257529
2026-01-28,26111.25,26349,25993.25,26156.25,83.25,+0.32%,511937,261479
2026-01-27,25861.25,26118,25838.5,26073,224.5,+0.87%,429460,259596
2026-01-26,25585.5,25936.5,25362,25848.5,110.25,+0.43%,450290,257044
2026-01-23,25605,25845.75,25540.25,25738.25,80,+0.31%,504901,255812
2026-01-22,25529.5,25739.75,25483.75,25658.25,187.25,+0.74%,533607,255722
2026-01-21,25149.5,25653.5,25025,25471,341.75,+1.36%,810753,257590
2026-01-20,25471,25472,25095.25,25129.25,-559.75,-2.18%,864568,266265
2026-01-16,25720.5,25891,25591.5,25689,-16.75,-0.07%,490573,268631
2026-01-15,25593,25952.75,25562.5,25705.75,74.75,+0.29%,591058,271773
2026-01-14,25900.75,25925.75,25420.75,25631,-275.,-1.06%,647871,272282
2026-01-13,25953.5,26045.5,25803.25,25906,-50.75,-0.20%,560438,278121
2026-01-12,25949,26020.5,25632.75,25956.75,18.5,+0.07%,452996,275751
2026-01-09,25725,25985.5,25615.5,25938.25,250.75,+0.98%,509669,272389
2026-01-08,25838.75,25849.75,25569,25687.5,-151.25,-0.59%,510805,266367
2026-01-07,25831.25,25996.25,25727,25838.75,16.75,+0.06%,477861,271524
2026-01-06,25583,25837.75,25527.5,25822,244.25,+0.95%,445573,273663
2026-01-05,25431.75,25708,25406.5,25577.75,192.5,+0.76%,461305,270215
2026-01-02,25478.5,25803.75,25265.25,25385.25,-71.5,-0.28%,554838,270116
2025-12-31,25683.25,25716.75,25429,25456.75,-218.5,-0.85%,329352,274059
2025-12-30,25740,25793.75,25668.25,25675.25,-64.5,-0.25%,300558,275913
2025-12-29,25863.25,25893.75,25648,25739.75,-123.5,-0.48%,347055,274205
2025-12-26,25868,25935.25,25834.25,25863.25,-17.25,-0.07%,240485,270034
2025-12-24,25815.75,25892,25777.5,25880.5,68.25,+0.26%,163037,264085
2025-12-23,25701,25822.5,25608.25,25812.25,120,+0.47%,336346,265028
2025-12-22,25635.25,25794.75,25628,25692.25,117.5,+0.46%,367322,266447
2025-12-19,25240,25600.25,25209.75,25574.75,313,+1.24%,502611,268942
2025-12-18,24983.5,25412.5,24901.25,25261.75,363,+1.46%,711273,271021
2025-12-17,25332,25508.5,24887.75,24898.75,-481.5,-1.90%,693927,266171
2025-12-16,25345.75,25444,25073.25,25380.25,37.5,+0.15%,671994,246109
2025-12-15,25463.25,25668,25285.75,25342.75,-126.75,-0.50%,499257,170252
2025-12-12,25971,25990.75,25371.5,25469.5,-501.5,-1.93%,88920,60993
2025-12-11,26047.5,26119,25640.75,25971,-83.,-0.32%,27889,29048
2025-12-10,25940,26124,25783.5,26054,100,+0.39%,14822,18629
2025-12-09,25960,25990,25813.5,25954,37.5,+0.14%,4964,12292
2025-12-08,25997.25,26113,25818.5,25916.5,-68.5,-0.26%,4584,10053
2025-12-05,25892.5,26120,25832.75,25985,112.5,+0.43%,2690,8612
2025-12-04,25897,25982.5,25739.75,25872.5,-35.5,-0.14%,2063,7900
2025-12-03,25873,25934.5,25674.25,25908,49,+0.19%,2976,7355
2025-12-02,25670.5,25925.5,25578.5,25859,217.25,+0.85%,2112,6042
2025-12-01,25743.5,25780,25447.75,25641.75,-93.75,-0.36%,1755,5654
2025-11-28,25564.5,25750.75,25550,25735.5,182.25,+0.71%,823,5365
2025-11-26,25317.5,25628.5,25313.75,25553.25,219,+0.86%,1417,5257
2025-11-25,25211,25388.25,24848,25334.25,137,+0.54%,2527,5137
2025-11-24,24718.25,25241.25,24611.75,25197.25,648.5,+2.64%,1415,4430
2025-11-21,24336.25,24842.25,24152.25,24548.75,171.25,+0.70%,2586,4212
2025-11-20,25250,25567.75,24321.5,24377.5,-598.,-2.39%,2829,3932
2025-11-19,24802.25,25241.25,24701.5,24975.5,128.25,+0.52%,1675,3578
2025-11-18,25205,25212.5,24630.75,24847.25,-285.75,-1.14%,1844,3343
2025-11-17,25382.75,25622.25,24989.75,25133,-219.25,-0.86%,1259,3197
2025-11-14,25372.5,25551.5,24882,25352.25,-1.75,-0.01%,1462,2982
2025-11-13,25845,25988.5,25263.75,25354,-533.,-2.06%,1134,2711
2025-11-12,25908.5,26096,25753,25887,-16.,-0.06%,868,2525
2025-11-11,25985.25,26029.75,25742.5,25903,-76.,-0.29%,720,2447
2025-11-10,25566.75,26025.25,25525.25,25979,557.25,+2.19%,1066,2344
2025-11-07,25536,25611.75,24960.75,25421.75,-80.,-0.31%,1609,2224
2025-11-06,25990,26084,25457.25,25501.75,-508.5,-1.95%,1291,2253
2025-11-05,25793.25,26139.5,25542.25,26010.25,174.25,+0.67%,1292,2129
2025-11-04,26353.75,26353.75,25785,25836,-530.5,-2.01%,1079,2009
2025-11-03,26265.5,26530,26265.5,26366.5,99.5,+0.38%,528,1987
2025-10-31,26435,26536.5,26151.75,26267,122.5,+0.47%,1087,1895
2025-10-30,26442,26670,26119,26144.5,-380.5,-1.43%,1245,1836
2025-10-29,26432.25,26635.75,26312.25,26525,102.25,+0.39%,1020,1679
2025-10-28,26255,26490,26201.75,26422.75,203.5,+0.78%,600,1571
2025-10-27,25931.25,26266,25931.25,26219.25,462,+1.79%,676,1472
2025-10-24,25540,25815,25540,25757.25,256.5,+1.01%,756,1481
2025-10-23,25244.75,25538.75,25184.5,25500.75,216,+0.85%,554,1315
2025-10-22,25497.75,25585.25,25051.25,25284.75,-257.25,-1.01%,828,1372
2025-10-21,25567,25612.5,25451,25542,-9.5,-0.04%,392,1331
2025-10-20,25287,25599,25198.75,25551.5,324.25,+1.29%,463,1306
2025-10-17,25080,25294.5,24643.5,25227.25,157,+0.63%,1010,1355
2025-10-16,25199.5,25422,24883.5,25070.25,-96.5,-0.38%,944,1289
2025-10-15,24991,25356,24905.25,25166.75,163.5,+0.65%,753,1223
2025-10-14,25170,25285,24660,25003.25,-161.5,-0.64%,1001,1179
2025-10-13,24809.5,25203.25,24809.5,25164.75,530.25,+2.15%,860,1047
2025-10-10,25571,25636.5,24400,24634.5,-902.25,-3.53%,1762,876
2025-10-09,25616,25644,25409.75,25536.75,-44.5,-0.17%,554,765
2025-10-08,25318,25614.5,25274.75,25581.25,295.5,+1.17%,437,782
2025-10-07,25442,25523,25235.75,25285.75,-148.75,-0.58%,421,748
2025-10-06,25253.25,25501.5,25253,25434.5,194.75,+0.77%,367,726
2025-10-03,25331.5,25436.75,25176.25,25239.75,-119.25,-0.47%,509,692
2025-10-02,25263.5,25428.5,25243.75,25359,93.5,+0.37%,436,709
2025-10-01,25098,25282,24885.5,25265.5,112.75,+0.45%,381,678
2025-09-30,25074.5,25164,24975.75,25152.75,62.75,+0.25%,450,664
2025-09-29,24993.75,25226,24993.75,25090,111.75,+0.45%,450,682
2025-09-26,24900,24996.75,24771.75,24978.25,99,+0.40%,468,565
2025-09-25,24991.5,25038.5,24670.5,24879.25,-108.75,-0.44%,751,570
