Time,Open,High,Low,Latest,Change,%Change,Volume
"2026-03-04 12:00",6872.75,6881.57,6861.37,6880,7.27,+0.11%,0
"2026-03-04 08:00",6831.69,6880.38,6811.64,6872.73,56.1,+0.82%,0
"2026-03-03 16:00",6816.35,6816.78,6816.35,6816.63,0.04,0.00%,0
"2026-03-03 12:00",6789.89,6840.05,6776.45,6816.59,26.62,+0.39%,0
"2026-03-03 08:00",6800.26,6800.26,6710.42,6789.97,-91.65,-1.33%,0
"2026-03-02 16:00",6879.42,6881.62,6879.42,6881.62,1.57,+0.02%,0
"2026-03-02 12:00",6878.11,6901.01,6864.78,6880.05,1.9,+0.03%,0
"2026-03-02 08:00",6824.36,6884.65,6796.85,6878.15,-0.73,-0.01%,0
"2026-02-27 16:00",6878.41,6878.91,6878.37,6878.88,0.84,+0.01%,0
"2026-02-27 12:00",6863.76,6882.96,6845.6,6878.04,14.14,+0.21%,0
"2026-02-27 08:00",6856.54,6877.38,6831.74,6863.9,-44.96,-0.65%,0
"2026-02-26 16:00",6909.24,6909.24,6908.85,6908.86,-0.15,0.00%,0
"2026-02-26 12:00",6877.97,6913.71,6864.14,6909.01,31.19,+0.45%,0
"2026-02-26 08:00",6944.74,6947.25,6859.73,6877.82,-68.31,-0.98%,0
"2026-02-25 16:00",6946.53,6946.61,6946.12,6946.13,-0.76,-0.01%,0
"2026-02-25 12:00",6937.24,6952.51,6935.25,6946.89,9.66,+0.14%,0
"2026-02-25 08:00",6915.15,6940.44,6915.15,6937.23,47.16,+0.68%,0
"2026-02-24 16:00",6890.05,6890.45,6890.05,6890.07,-0.97,-0.01%,0
"2026-02-24 12:00",6880.61,6899.17,6880.27,6891.04,10.17,+0.15%,0
"2026-02-24 08:00",6837.37,6884.68,6815.43,6880.87,43.12,+0.63%,0
"2026-02-23 16:00",6839.2,6839.2,6837.75,6837.75,-1.84,-0.03%,0
"2026-02-23 12:00",6835.94,6855.55,6821.78,6839.59,3.74,+0.05%,0
"2026-02-23 08:00",6901.25,6916.96,6819.82,6835.85,-73.66,-1.07%,0
"2026-02-20 16:00",6910.07,6910.07,6909.5,6909.51,-0.71,-0.01%,0
"2026-02-20 12:00",6902.26,6915.86,6858.51,6910.22,8.17,+0.12%,0
"2026-02-20 08:00",6843.26,6909.87,6836.33,6902.05,40.16,+0.59%,0
"2026-02-19 16:00",6861.94,6861.94,6861.85,6861.89,0.24,0.00%,0
"2026-02-19 12:00",6852.52,6864.05,6833.06,6861.65,9.1,+0.13%,0
"2026-02-19 08:00",6861.34,6879.12,6842.82,6852.55,-28.76,-0.42%,0
"2026-02-18 16:00",6880.27,6881.32,6880.27,6881.31,1.65,+0.02%,0
