Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2026-03-04,48475,48916,48266,48796,236,+0.49%,134674,70793
2026-03-03,48928,48935,47681,48560,-385.,-0.79%,209429,70581
2026-03-02,48451,49121,48166,48945,-55.,-0.11%,144110,68452
2026-02-27,49336,49396,48699,49000,-531.,-1.07%,128200,69676
2026-02-26,49483,49872,49261,49531,-3.,-0.01%,127493,69743
2026-02-25,49206,49583,49124,49534,298,+0.61%,84351,69444
2026-02-24,48903,49343,48801,49236,387,+0.79%,111764,69217
2026-02-23,49642,49765,48775,48849,-825.,-1.66%,140083,71128
2026-02-20,49432,49775,49204,49674,216,+0.44%,128313,66963
2026-02-19,49697,49788,49258,49458,-264.,-0.53%,95498,67814
2026-02-18,49619,49967,49489,49722,110,+0.22%,91111,67786
2026-02-17,49549,49820,49240,49612,43,+0.09%,142838,67892
2026-02-13,49553,49817,49155,49569,46,+0.09%,139588,68216
2026-02-12,50216,50521,49493,49523,-682.,-1.36%,137171,69303
2026-02-11,50325,50585,49977,50205,-68.,-0.14%,112947,69475
2026-02-10,50197,50611,50107,50273,54,+0.11%,108206,71662
2026-02-09,50240,50339,49908,50219,14,+0.03%,101613,70519
2026-02-06,48845,50263,48702,50205,1207,+2.46%,156045,71852
2026-02-05,49524,49690,48848,48998,-591.,-1.19%,143864,71527
2026-02-04,49379,49758,49215,49589,239,+0.48%,132992,70310
2026-02-03,49481,49767,48934,49350,-173.,-0.35%,151158,69639
2026-02-02,48864,49602,48506,49523,515,+1.05%,120373,69176
2026-01-30,49123,49169,48571,49008,-162.,-0.33%,141275,69293
2026-01-29,49134,49442,48722,49170,3,+0.01%,148213,68640
2026-01-28,49150,49290,48990,49167,8,+0.02%,90268,70270
2026-01-27,49421,49566,49007,49159,-406.,-0.82%,104315,70518
2026-01-26,49036,49644,48850,49565,302,+0.61%,90970,69320
2026-01-23,49506,49620,49119,49263,-295.,-0.60%,96872,70285
2026-01-22,49296,49795,49257,49558,293,+0.59%,111017,70219
2026-01-21,48727,49482,48488,49265,599,+1.23%,151069,69886
2026-01-20,49310,49328,48611,48666,-881.,-1.78%,174352,69875
2026-01-16,49653,49799,49424,49547,-92.,-0.19%,96775,69922
2026-01-15,49277,49792,49253,49639,283,+0.57%,117820,69210
2026-01-14,49372,49400,49057,49356,-53.,-0.11%,123352,68327
2026-01-13,49764,49901,49274,49409,-400.,-0.80%,115853,68534
2026-01-12,49720,49855,49212,49809,83,+0.17%,104754,65557
2026-01-09,49569,49793,49408,49726,233,+0.47%,85625,64651
2026-01-08,49239,49603,49001,49493,254,+0.52%,107058,63746
2026-01-07,49752,49876,49182,49239,-482.,-0.97%,103442,64322
2026-01-06,49225,49766,49096,49721,493,+1.00%,96101,65901
2026-01-05,48653,49463,48556,49228,612,+1.26%,108530,65002
